epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2166.06,0.61757,0.40279,0.88949,0.91564,0.9351,0.96211,0.74342,0.71627,0.44572,0.91077,0.000742625,0.000742625,0.000742625
43,2220.9,0.61165,0.38963,0.88385,0.94027,0.91661,0.96378,0.75254,0.71309,0.42427,0.91331,0.00073025,0.00073025,0.00073025
44,2276.7,0.60113,0.38255,0.88507,0.92084,0.91063,0.95467,0.73363,0.73162,0.48445,0.90735,0.000717875,0.000717875,0.000717875
45,2334.56,0.60024,0.38679,0.88105,0.90245,0.95165,0.96122,0.75295,0.69544,0.43724,0.89568,0.0007055,0.0007055,0.0007055
46,2400.65,0.60814,0.38427,0.87794,0.91759,0.93655,0.9634,0.75432,0.72703,0.41174,0.92645,0.000693125,0.000693125,0.000693125
47,2460.62,0.58855,0.37637,0.88156,0.92938,0.91386,0.96523,0.75241,0.71987,0.42872,0.90264,0.00068075,0.00068075,0.00068075
48,2518.57,0.5832,0.37311,0.87687,0.92601,0.93492,0.97024,0.75823,0.68448,0.40877,0.89864,0.000668375,0.000668375,0.000668375
49,2577.85,0.58799,0.37267,0.87821,0.91823,0.94865,0.9652,0.76225,0.68016,0.41317,0.88097,0.000656,0.000656,0.000656
50,2633.79,0.59886,0.37955,0.87852,0.91426,0.95234,0.96337,0.75734,0.70136,0.44515,0.89385,0.000643625,0.000643625,0.000643625
51,2698.99,0.58741,0.37152,0.87713,0.91156,0.94107,0.96745,0.76429,0.67423,0.42376,0.89,0.00063125,0.00063125,0.00063125
52,2754.21,0.58,0.36976,0.87857,0.8888,0.95485,0.96965,0.75154,0.71631,0.41947,0.90526,0.000618875,0.000618875,0.000618875
53,2814.33,0.57938,0.36264,0.87417,0.9155,0.91511,0.96015,0.7478,0.67019,0.45358,0.88161,0.0006065,0.0006065,0.0006065
54,2879.43,0.57759,0.36907,0.87632,0.91279,0.94194,0.973,0.75026,0.70146,0.41991,0.8814,0.000594125,0.000594125,0.000594125
55,2942.85,0.58206,0.36032,0.86882,0.92289,0.95744,0.97714,0.76631,0.67547,0.40524,0.87734,0.00058175,0.00058175,0.00058175
56,3006.4,0.577,0.36023,0.87425,0.91488,0.95684,0.96819,0.76259,0.68601,0.40946,0.89239,0.000569375,0.000569375,0.000569375
57,3070.45,0.57697,0.3563,0.87379,0.923,0.95145,0.97464,0.76545,0.68101,0.40834,0.8876,0.000557,0.000557,0.000557
58,3122.43,0.57398,0.357,0.87755,0.95661,0.92059,0.97502,0.75591,0.67806,0.41166,0.88803,0.000544625,0.000544625,0.000544625
59,3169.81,0.56498,0.34729,0.87357,0.937,0.93882,0.97278,0.75861,0.67452,0.40864,0.88686,0.00053225,0.00053225,0.00053225
60,3222.56,0.56334,0.34898,0.86991,0.95055,0.91946,0.97221,0.76232,0.6788,0.4089,0.89985,0.000519875,0.000519875,0.000519875
61,3272.77,0.57051,0.35587,0.86692,0.94895,0.93736,0.9707,0.76086,0.68596,0.41084,0.88699,0.0005075,0.0005075,0.0005075
62,3321.19,0.56566,0.34642,0.87179,0.91968,0.93147,0.95264,0.74373,0.69589,0.42402,0.90924,0.000495125,0.000495125,0.000495125
63,3370.28,0.57217,0.35464,0.87273,0.93138,0.95436,0.97297,0.76311,0.68424,0.40088,0.89815,0.00048275,0.00048275,0.00048275
64,3419.94,0.55827,0.35166,0.87197,0.9094,0.95078,0.97244,0.76695,0.68992,0.40873,0.9202,0.000470375,0.000470375,0.000470375
65,3469.61,0.55816,0.34369,0.86694,0.96332,0.92793,0.97648,0.77046,0.68385,0.39385,0.89206,0.000458,0.000458,0.000458
66,3518.55,0.56435,0.34743,0.86639,0.9312,0.97047,0.98067,0.77446,0.6872,0.3785,0.90962,0.000445625,0.000445625,0.000445625
67,3570.18,0.57187,0.34656,0.87383,0.944,0.96116,0.97507,0.7747,0.67554,0.37959,0.89351,0.00043325,0.00043325,0.00043325
68,3616.93,0.54521,0.33629,0.86411,0.94916,0.94156,0.97397,0.77287,0.68793,0.38007,0.90197,0.000420875,0.000420875,0.000420875
69,3663.73,0.5417,0.3338,0.86478,0.92642,0.94486,0.97242,0.77917,0.65844,0.38184,0.87752,0.0004085,0.0004085,0.0004085
70,3711.15,0.54573,0.33083,0.86588,0.93105,0.93229,0.97069,0.77994,0.65112,0.38644,0.87583,0.000396125,0.000396125,0.000396125
71,3760.31,0.5446,0.33285,0.86437,0.93242,0.94135,0.96893,0.77236,0.66796,0.38475,0.88497,0.00038375,0.00038375,0.00038375
72,3807.01,0.55023,0.3363,0.86741,0.9253,0.96178,0.96843,0.7713,0.66956,0.38061,0.88557,0.000371375,0.000371375,0.000371375
73,3854.73,0.5335,0.3337,0.86022,0.94465,0.96276,0.97812,0.77506,0.66816,0.37036,0.88509,0.000359,0.000359,0.000359
74,3901.8,0.53893,0.32882,0.8667,0.93273,0.95039,0.9676,0.7752,0.67142,0.3752,0.89178,0.000346625,0.000346625,0.000346625
75,3948.96,0.53996,0.32872,0.86157,0.9465,0.92327,0.97834,0.77715,0.67862,0.37498,0.89177,0.00033425,0.00033425,0.00033425
76,3995.71,0.54024,0.33035,0.86426,0.9412,0.93215,0.9729,0.77928,0.66674,0.38089,0.88454,0.000321875,0.000321875,0.000321875
77,4042.25,0.53391,0.32924,0.86396,0.94258,0.94248,0.97291,0.77728,0.66676,0.37677,0.89012,0.0003095,0.0003095,0.0003095
78,4089.53,0.53016,0.32305,0.85983,0.93826,0.96155,0.98197,0.78181,0.65778,0.36274,0.87961,0.000297125,0.000297125,0.000297125
79,4136.17,0.53024,0.31651,0.86049,0.92716,0.95418,0.976,0.78393,0.65051,0.36554,0.87802,0.00028475,0.00028475,0.00028475
80,4182.98,0.5194,0.31009,0.8541,0.94952,0.96354,0.98204,0.78882,0.64555,0.36619,0.86636,0.000272375,0.000272375,0.000272375
81,4230.27,0.53312,0.32318,0.8587,0.9351,0.95536,0.97269,0.78041,0.63792,0.35906,0.8609,0.00026,0.00026,0.00026
82,4277.03,0.51951,0.3126,0.86192,0.93938,0.94406,0.97026,0.78244,0.63747,0.35764,0.8675,0.000247625,0.000247625,0.000247625
83,4324.11,0.52196,0.31123,0.86021,0.94621,0.94711,0.9722,0.78499,0.63939,0.35735,0.87154,0.00023525,0.00023525,0.00023525
84,4371.69,0.5162,0.30552,0.85484,0.9397,0.95076,0.9766,0.7778,0.65662,0.36751,0.87324,0.000222875,0.000222875,0.000222875
85,4418.86,0.503,0.3051,0.85728,0.93159,0.95609,0.97217,0.7764,0.63616,0.35421,0.86581,0.0002105,0.0002105,0.0002105
86,4465.2,0.5134,0.30577,0.85668,0.95352,0.92212,0.97693,0.77272,0.64133,0.35366,0.86801,0.000198125,0.000198125,0.000198125
87,4511.73,0.51564,0.30845,0.85301,0.92657,0.95781,0.97503,0.78272,0.65256,0.35133,0.8831,0.00018575,0.00018575,0.00018575
88,4562.85,0.51674,0.31089,0.85705,0.93915,0.93652,0.97222,0.78228,0.63601,0.35548,0.868,0.000173375,0.000173375,0.000173375
89,4612.2,0.49823,0.29787,0.85244,0.95524,0.93871,0.96974,0.78312,0.65318,0.34995,0.87433,0.000161,0.000161,0.000161
90,4659.03,0.50204,0.30079,0.85906,0.92792,0.96807,0.97456,0.78316,0.64407,0.35192,0.87256,0.000148625,0.000148625,0.000148625
91,4709.13,0.50778,0.28909,0.83567,0.96332,0.93499,0.9737,0.77831,0.64114,0.34748,0.86899,0.00013625,0.00013625,0.00013625
92,4754.74,0.49613,0.28066,0.8311,0.93778,0.94928,0.9719,0.77685,0.63297,0.34431,0.86399,0.000123875,0.000123875,0.000123875
93,4799.82,0.49216,0.27679,0.83331,0.93781,0.95333,0.97315,0.78288,0.63869,0.34485,0.87011,0.0001115,0.0001115,0.0001115
94,4845.31,0.49253,0.27683,0.82904,0.9325,0.96027,0.97347,0.78421,0.62931,0.34653,0.86714,9.9125e-05,9.9125e-05,9.9125e-05
95,4890.44,0.48737,0.27152,0.83235,0.9282,0.96603,0.97057,0.78447,0.63976,0.34709,0.87269,8.675e-05,8.675e-05,8.675e-05
96,4935.68,0.48262,0.27113,0.82523,0.93825,0.95536,0.97799,0.78738,0.63034,0.33984,0.86456,7.4375e-05,7.4375e-05,7.4375e-05
97,4980.85,0.49059,0.27301,0.83052,0.93422,0.95819,0.97814,0.79076,0.62206,0.33954,0.85898,6.2e-05,6.2e-05,6.2e-05
98,5026.59,0.47968,0.26827,0.82678,0.92971,0.96481,0.97341,0.78573,0.62042,0.34121,0.86036,4.9625e-05,4.9625e-05,4.9625e-05
99,5074.09,0.47816,0.26507,0.82482,0.92951,0.95389,0.97196,0.78856,0.61681,0.33918,0.85886,3.725e-05,3.725e-05,3.725e-05
100,5119.06,0.47083,0.26154,0.82604,0.92928,0.95673,0.97694,0.79025,0.60842,0.33173,0.8559,2.4875e-05,2.4875e-05,2.4875e-05
